FROST DATA CSV ,,,,,,,,,,,,,,,,
"Populates TOC , TPC, TPC Canada daily cash reports",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Post Date,Bank ID,Account Number,Account Name,Transaction Description,Status,Debit/Credit, Amount ,Bank Reference,Customer Reference,Transaction Detail,BAI Code,Type,Additional Information,Currency,Image,Advice Reference
2/20/2026,114000093,502699826,TOC Operating,INDIVIDUAL LOAN DEPOSIT,Cleared,Credit,"$178,000.00 ",,,INVESTMENT SERVI,171,OTHER DEPOSITS,,USD,,
2/20/2026,114000093,502699826,TOC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$5,500,000.00 ",,,FROST BANK      WIRE IN   26022007112/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=TAUBER OIL COMPANY/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$1,186,000.00 ",,,FROST BANK      BOOK CDT  26022003716/                     SENDER=EXXONMOBIL OIL CORPORATION/                                           BENE=TAUBER OIL COMPANY/                                                     ORIG TO BNF INFO=2633049/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$844,390.71 ",,,FROST BANK      WIRE IN   26022000043/                     SENDER=THE BANK OF TOKYO MITSUBISHI UFJ LT/                                  BENE=TAUBER OIL COMPANY/                                                     ORIG TO BNF INFO=IVPTINV. 2632861 2632914/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$163,251.75 ",,,Midstream TranspPayment   2602209218,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$104,098.92 ",,,FROST BANK      WIRE IN   26022005379/                     SENDER=VALERO MKTG SUP/                                                      BENE=TAUBER OIL COMPANY/                                                     ORIG TO BNF INFO=2633239/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$67,946.93 ",,,Tartan Oil LLC PAP PAYMENT26022054PD-000000521,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$37,707.23 ",,,Mansfield Oil CoPAYMENTS  2602201844231,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$24,820.75 ",,,TAUBER OIL COMPACORP COLL 260220-SETT-,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$24,108.28 ",,,FERRELLGASLP6689PAYMENTS  2602200000005656,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$18,092.31 ",,,CLEAN RECOMPRESSCONS PAY  260220,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$13,167.61 ",,,TAUBER OIL COMPACORP COLL 260220-SETT-,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$12,344.20 ",,,BAM PROPANE CON ACH       260220,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$10,334.88 ",,,TAUBER OIL COMPARHINE-TAUB260220-SETT-,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$5,860.33 ",,,TAUBER OIL COMPAOFFEN-TAUB260220-SETT-,142,ACH,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ZBA CREDIT,Cleared,Credit,"$2,599,775.88 ",,,TRANSFER FROM CHECKING ACCT 0502943352,275,ZBA,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ZBA CREDIT,Cleared,Credit,"$29,742.13 ",,,TRANSFER FROM CHECKING ACCT 0502699869,275,ZBA,,USD,,
,,,,,,,,,,,,,,,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($2,255,355.82)",,,FROST BANK      WIRE OUT  26022003863/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=SHELL TRADING  US  COMPANY/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($748,919.70)",,,FROST BANK      WIRE OUT  26022003060/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=WELLS FARGO BANK/                                                       ORIG TO BNF INFO=LCWells FargoUIC000609705/                                   TPCSIT26TP0004  SINO COAST LIMITED/                                           UC  UIC000609705 PARTIAL SHIPMENT/                                            invoiceSC 26 0127A  748 919.70/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($589,460.34)",,,FROST BANK      WIRE OUT  26022003046/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=WELLS FARGO BANK/                                                       ORIG TO BNF INFO=LC Wells Fargo UIC000610712/                                 TPCSIT26TP0003  SINO COAST LIMITED/                                           UC  UIC000610712 PARTIAL SHIPMENT/                                            invoiceSC 26 0115T   589 460.34/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($4,559.10)",,,FROST BANK      WIRE OUT  26022003864/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=CANADIAN PACIFIC RAILWAY/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($3,826.39)",,,FROST BANK      WIRE OUT  26022003861/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=PBF HOLDING COMPANY LLC/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($3,759.60)",,,FROST BANK      WIRE OUT  26022003860/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=AMSPEC SERVICES  LLC/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($2,816.00)",,,FROST BANK      WIRE OUT  26022003862/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=L   B TRANSPORT  LLC/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($2,810.78)",,,FROST BANK      WIRE OUT  26022003859/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=COASTAL GULF   INTERNATIONAL/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,($500.00),,,FROST BANK      WIRE OUT  26022003067/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=WELLS FARGO BANK/                                                       ORIG TO BNF INFO=LC Wells Fargo UIC000610712 TPCSIT/                            26TP0003  SINO COAST LIMITED UC/                                               UIC000610712 PARTIAL SHIPMENT/                                               invoiceSC 26 0115T   500.00/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,($500.00),,,FROST BANK      WIRE OUT  26022003062/                     SENDER=TAUBER PETROCHEMICAL CO/                                              BENE=WELLS FARGO BANK/                                                       ORIG TO BNF INFO=LCWells FargoUIC000609705/                                   TPCSIT26TP0004  SINO COAST LIMITED/                                           UC  UIC000609705 PARTIAL SHIPMENT/                                            invoiceSC 26 0127A  500.00/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ELECTRONIC DEBIT,Cleared,Debit,"($151,065.62)",,,TAUBER PETROCHEMPAYABLE   260220-SETT-,451,MISCELLANEOUS,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ELECTRONIC DEBIT,Cleared,Debit,"($11,864.16)",,,TAUBER PETROCHEMPAYABLE   260220-SETT-,451,MISCELLANEOUS,,USD,,
2/20/2026,114000093,502699737,TPC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$814,172.55 ",,,FROST BANK      WIRE IN   26022004783/                     SENDER=STATE BANK OF INDIA/                                                  BENE=TAUBER PETROCHEMICAL CO/                                                ORIG TO BNF INFO=LC NUMBER.0607025IM0B00528 YOUR REF/                         . SDK25TS0002 APPLICANT.SANMAN TRAD/                                          E IMPEX LTD/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$295,857.44 ",,,FROST BANK      WIRE IN   26022000120/                     SENDER=CHAMPIONX CANADA ULC/                                                 BENE=TAUBER PETROCHEMICAL CO/                                                ORIG TO BNF INFO=2630439 2630441 2630626 2630623 263/                         0120  RFB 2000037585/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$211,029.81 ",,,Shrieve ChemicalEDI PYMNTS260220BKTRF118970,142,ACH,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$76,293.59 ",,,CHAMPIONX LLC   CORP PYMNT2602202000153918,142,ACH,,USD,,
2/20/2026,114000093,502699737,TPC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$70,000.00 ",,,FROST BANK      BOOK CDT  26022000303/                     SENDER=HELM AG/                                                              BENE=TAUBER PETROCHEMICAL CO/                                                ORIG TO BNF INFO=2900002536 ACCOUNT WITNO.2632262 2./                         4.2026/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$62,537.61 ",,,BACHMAN SERVICESPAYMENTS  26022030-132,142,ACH,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$40,721.98 ",,,HALLIBURTON 7833ACCTS PAY 2602203807235507,142,ACH,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$40,133.30 ",,,BARR BRANDS INTEDIRECT-PAY260220      126096713,142,ACH,,USD,,
2/20/2026,114000093,502699737,TPC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$32,854.12 ",,,FROST BANK      WIRE IN   26022005518/                     SENDER=SA SERVICES LLC/                                                      BENE=TAUBER PETROCHEMICAL CO/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$17,956.37 ",,,FROST BANK      WIRE IN   26022005380/                     SENDER=VALERO MKTG SUP/                                                      BENE=TAUBER PETROCHEMICAL CO/                                                ORIG TO BNF INFO=2631641/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$17,598.73 ",,,Berryman Chemic TRADES PAY260220100219310,142,ACH,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ACH CREDIT RECEIVED,Cleared,Credit,"$7,023.38 ",,,ALTIVIA SPECIALTACH TRANS 26022017842,142,ACH,,USD,,
2/20/2026,114000093,502699737,TPC Operating,INCOMING MONEY TRANSFER,Cleared,Credit,"$1,769.04 ",,,FROST BANK      WIRE IN   26022002825/                     SENDER=TRICON INTERNATIONAL LTD/                                             BENE=TAUBER PETROCHEMICAL CO/                                                ORIG TO BNF INFO= ROC 00069169   2633062/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699737,TPC Operating,ZBA CREDIT,Cleared,Credit,"$2,087,489.59 ",,,TRANSFER FROM CHECKING ACCT 0502699826,275,ZBA,,USD,,
